,strain,replicate,techRep,bioRep,drug,time,person,OD_24h,OD_48h,OD_72h,OD_72h_Mixed
A0210M,A02,1,A,one,0,0,M,1.4444,1.5049,1.5076,1.0767
A0220M,A02,2,A,one,0,0,M,1.4363,1.5024,1.5057,1.0746
A0230M,A02,3,A,one,0,0,M,1.4385,1.5037,1.5049,1.0799
A0240M,A02,4,A,one,0,0,M,1.4272,1.4903,1.4948,1.0646
A0250M,A02,5,A,one,0,0,M,1.4245,1.4897,1.4919,1.0693
A0260M,A02,6,A,one,0,0,M,1.4405,1.4921,1.4942,1.0537
A0270M,A02,7,A,one,0,0,M,1.427,1.4869,1.4917,1.0561
A0280M,A02,8,A,one,0,0,M,1.4382,1.4984,1.4981,1.0716
A0290M,A02,9,A,one,0,0,M,1.4327,1.4951,1.4955,1.0479
A02100M,A02,10,A,one,0,0,M,1.4361,1.4959,1.4949,1.0473
A02110M,A02,11,A,one,0,0,M,1.4429,1.4987,1.5008,1.0414
A02120M,A02,12,A,one,0,0,M,1.4412,1.4972,1.4998,1.0443
A0210M,A02,1,B,one,0,0,M,1.4917,1.4957,1.5074,1.0649
A0220M,A02,2,B,one,0,0,M,1.4851,1.4894,1.4958,1.0784
A0230M,A02,3,B,one,0,0,M,1.4817,1.4951,1.5007,1.0761
A0240M,A02,4,B,one,0,0,M,1.4702,1.4902,1.4907,1.0519
A0250M,A02,5,B,one,0,0,M,1.4667,1.4885,1.4874,1.0709
A0260M,A02,6,B,one,0,0,M,1.4667,1.4917,1.4903,1.0641
A0270M,A02,7,B,one,0,0,M,1.4527,1.4785,1.4806,1.0305
A0280M,A02,8,B,one,0,0,M,1.4627,1.4891,1.4895,1.0772
A0290M,A02,9,B,one,0,0,M,1.4603,1.4836,1.49,1.0392
A02100M,A02,10,B,one,0,0,M,1.4632,1.4835,1.4863,1.058
A02110M,A02,11,B,one,0,0,M,1.4626,1.4828,1.4896,1.0597
A02120M,A02,12,B,one,0,0,M,1.4662,1.4868,1.4947,1.0606
A0210Q,A02,1,A,one,0,0,Q,1.4672,1.366833,1.5146,1.0831
A0220Q,A02,2,A,one,0,0,Q,1.4685,1.368233,1.512,1.0644
A0230Q,A02,3,A,one,0,0,Q,1.461,1.363333,1.5047,1.0897
A0240Q,A02,4,A,one,0,0,Q,1.4588,1.362933,1.5012,1.0873
A0250Q,A02,5,A,one,0,0,Q,1.4472,1.357633,1.4979,1.1001
A0260Q,A02,6,A,one,0,0,Q,1.4438,1.354733,1.4913,1.1422
A0270Q,A02,7,A,one,0,0,Q,1.4486,1.360833,1.4988,1.0762
A0280Q,A02,8,A,one,0,0,Q,1.4531,1.357933,1.5058,1.0796
A0290Q,A02,9,A,one,0,0,Q,1.4526,1.358033,1.5041,1.0739
A02100Q,A02,10,A,one,0,0,Q,1.4554,1.362133,1.5095,1.0585
A02110Q,A02,11,A,one,0,0,Q,1.4508,1.357233,1.511,1.0735
A02120Q,A02,12,A,one,0,0,Q,1.4446,1.352933,1.5073,1.0474
A0210Q,A02,1,B,one,0,0,Q,1.4812,1.378433,1.5291,1.0692
A0220Q,A02,2,B,one,0,0,Q,1.4836,1.381233,1.5257,1.07
A0230Q,A02,3,B,one,0,0,Q,1.4783,1.383533,1.5247,1.0817
A0240Q,A02,4,B,one,0,0,Q,1.479,1.382833,1.5247,1.0678
A0250Q,A02,5,B,one,0,0,Q,1.4746,1.378533,1.5284,1.0658
A0260Q,A02,6,B,one,0,0,Q,1.4762,1.377433,1.5277,1.0496
A0270Q,A02,7,B,one,0,0,Q,1.4762,1.378733,1.531,1.0604
A0280Q,A02,8,B,one,0,0,Q,1.4747,1.381633,1.5353,1.0604
A0290Q,A02,9,B,one,0,0,Q,1.4691,1.372433,1.522,1.0526
A02100Q,A02,10,B,one,0,0,Q,1.4678,1.368833,1.5217,1.0476
A02110Q,A02,11,B,one,0,0,Q,1.4807,1.371733,1.5299,1.0682
A02120Q,A02,12,B,one,0,0,Q,1.4732,1.362033,1.5249,1.0484
A0210M,A02,1,A,one,0.5,0,M,0.3214,0.3635,0.3899,0.2826
A0220M,A02,2,A,one,0.5,0,M,0.1824,0.1913,0.2827,0.1626
A0230M,A02,3,A,one,0.5,0,M,0.2434,0.3266,0.3041,0.2162
A0240M,A02,4,A,one,0.5,0,M,0.152,0.1801,0.2064,0.1216
A0250M,A02,5,A,one,0.5,0,M,0.1762,0.2148,0.2504,0.1633
A0260M,A02,6,A,one,0.5,0,M,0.1344,0.1609,0.1866,0.1207
A0270M,A02,7,A,one,0.5,0,M,0.1531,0.1795,0.2084,0.1275
A0280M,A02,8,A,one,0.5,0,M,0.1836,0.2165,0.2499,0.1432
A0290M,A02,9,A,one,0.5,0,M,0.1351,0.1526,0.177,0.1668
A02100M,A02,10,A,one,0.5,0,M,0.1553,0.1847,0.2112,0.1596
A02110M,A02,11,A,one,0.5,0,M,0.1849,0.2239,0.2563,0.1654
A02120M,A02,12,A,one,0.5,0,M,0.189,0.2349,0.2672,0.1734
A0210M,A02,1,B,one,0.5,0,M,0.3286,0.3917,0.4372,0.273
A0220M,A02,2,B,one,0.5,0,M,0.1546,0.1978,0.2206,0.1685
A0230M,A02,3,B,one,0.5,0,M,0.2304,0.2954,0.327,0.1999
A0240M,A02,4,B,one,0.5,0,M,0.1533,0.1865,0.2058,0.1464
A0250M,A02,5,B,one,0.5,0,M,0.1666,0.2014,0.2243,0.1906
A0260M,A02,6,B,one,0.5,0,M,0.128,0.1499,0.1646,0.1256
A0270M,A02,7,B,one,0.5,0,M,0.142,0.1661,0.1859,0.1268
A0280M,A02,8,B,one,0.5,0,M,0.1683,0.2021,0.2284,0.1476
A0290M,A02,9,B,one,0.5,0,M,0.1138,0.1319,0.1488,0.1365
A02100M,A02,10,B,one,0.5,0,M,0.1459,0.1767,0.2015,0.1764
A02110M,A02,11,B,one,0.5,0,M,0.1889,0.2306,0.2627,0.1293
A02120M,A02,12,B,one,0.5,0,M,0.1882,0.2282,0.259,0.1405
A0210M,A02,1,C,one,0.5,0,M,0.2846,0.3288,0.3719,0.2371
A0220M,A02,2,C,one,0.5,0,M,0.1512,0.1786,0.2026,0.1875
A0230M,A02,3,C,one,0.5,0,M,0.1921,0.2354,0.2629,0.2055
A0240M,A02,4,C,one,0.5,0,M,0.1038,0.1334,0.1585,0.151
A0250M,A02,5,C,one,0.5,0,M,0.1253,0.1566,0.1815,0.1716
A0260M,A02,6,C,one,0.5,0,M,0.1018,0.1269,0.1385,0.1231
A0270M,A02,7,C,one,0.5,0,M,0.104,0.1313,0.1474,0.1244
A0280M,A02,8,C,one,0.5,0,M,0.1259,0.162,0.1834,0.1461
A0290M,A02,9,C,one,0.5,0,M,0.0832,0.112,0.1267,0.1142
A02100M,A02,10,C,one,0.5,0,M,0.1058,0.1403,0.1586,0.1481
A02110M,A02,11,C,one,0.5,0,M,0.1426,0.1834,0.205,0.1413
A02120M,A02,12,C,one,0.5,0,M,0.1352,0.1741,0.1884,0.1634
A0210Q,A02,1,A,one,0.5,0,Q,0.135,0.196,0.1903,0.1594
A0220Q,A02,2,A,one,0.5,0,Q,0.0971,0.1561,0.1352,0.1047
A0230Q,A02,3,A,one,0.5,0,Q,0.1156,0.1628,0.1555,0.1195
A0240Q,A02,4,A,one,0.5,0,Q,0.0893,0.1484,0.1237,0.1007
A0250Q,A02,5,A,one,0.5,0,Q,0.1138,0.1682,0.1543,0.143
A0260Q,A02,6,A,one,0.5,0,Q,0.0782,0.1105,0.0989,0.12
A0270Q,A02,7,A,one,0.5,0,Q,0.0813,0.1315,0.117,0.1005
A0280Q,A02,8,A,one,0.5,0,Q,0.0674,0.1204,0.0964,0.0909
A0290Q,A02,9,A,one,0.5,0,Q,0.07,0.1346,0.1074,0.1175
A02100Q,A02,10,A,one,0.5,0,Q,0.0576,0.1179,0.1059,0.0847
A02110Q,A02,11,A,one,0.5,0,Q,0.0737,0.1197,0.1298,0.0968
A02120Q,A02,12,A,one,0.5,0,Q,0.0367,0.0838,0.0893,0.1159
A0210Q,A02,1,B,one,0.5,0,Q,0.1358,0.1786,0.1868,0.1232
A0220Q,A02,2,B,one,0.5,0,Q,0.1255,0.1512,0.1535,0.1026
A0230Q,A02,3,B,one,0.5,0,Q,0.1438,0.1768,0.1806,0.1056
A0240Q,A02,4,B,one,0.5,0,Q,0.137,0.1743,0.1696,0.1005
A0250Q,A02,5,B,one,0.5,0,Q,0.1573,0.2034,0.2014,0.1159
A0260Q,A02,6,B,one,0.5,0,Q,0.1225,0.1415,0.1442,0.0827
A0270Q,A02,7,B,one,0.5,0,Q,0.1257,0.1604,0.1654,0.1019
A0280Q,A02,8,B,one,0.5,0,Q,0.106,0.1259,0.1257,0.0832
A0290Q,A02,9,B,one,0.5,0,Q,0.1207,0.1363,0.1421,0.0942
A02100Q,A02,10,B,one,0.5,0,Q,0.0896,0.1079,0.1016,0.1223
A02110Q,A02,11,B,one,0.5,0,Q,0.1066,0.1282,0.1282,0.092
A02120Q,A02,12,B,one,0.5,0,Q,0.0498,0.0643,0.0768,0.1011
A0235Q,A02,3,A,one,0,5,Q,1.3761,1.433867,1.4536,1.1564
A0265Q,A02,6,A,one,0,5,Q,1.3533,1.432467,1.4645,1.1792
A0235Q,A02,3,B,one,0,5,Q,1.4082,1.475767,1.4783,1.0828
A0265Q,A02,6,B,one,0,5,Q,1.3837,1.482867,1.4822,1.0781
A0235Q,A02,3,A,one,0.5,5,Q,0.253,0.3908,0.4031,0.2626
A0265Q,A02,6,A,one,0.5,5,Q,0.2147,0.2909,0.2645,0.2371
A0235Q,A02,3,B,one,0.5,5,Q,0.2574,0.3867,0.4005,0.2629
A0310M,A03,1,A,one,0,0,M,1.4534,1.5025,1.5061,1.086
A0320M,A03,2,A,one,0,0,M,1.4424,1.4883,1.4957,1.0817
A0330M,A03,3,A,one,0,0,M,1.4421,1.4932,1.4987,1.092
A0340M,A03,4,A,one,0,0,M,1.4342,1.4925,1.4979,1.0835
A0350M,A03,5,A,one,0,0,M,1.4342,1.4932,1.5,1.0911
A0360M,A03,6,A,one,0,0,M,1.434,1.4954,1.5007,1.0925
A0370M,A03,7,A,one,0,0,M,1.4362,1.4908,1.497,1.0887
A0380M,A03,8,A,one,0,0,M,1.44,1.4902,1.4969,1.0873
A0390M,A03,9,A,one,0,0,M,1.4413,1.4922,1.4949,1.0807
A03100M,A03,10,A,one,0,0,M,1.4371,1.4887,1.4935,1.072
A03110M,A03,11,A,one,0,0,M,1.4421,1.4905,1.4955,1.0765
A03120M,A03,12,A,one,0,0,M,1.4369,1.4884,1.4934,1.0861
A0310M,A03,1,B,one,0,0,M,1.4885,1.4934,1.5082,1.0975
A0320M,A03,2,B,one,0,0,M,1.4623,1.479,1.4903,1.0811
A0330M,A03,3,B,one,0,0,M,1.4611,1.4807,1.4909,1.0913
A0340M,A03,4,B,one,0,0,M,1.4698,1.4881,1.4915,1.1023
A0350M,A03,5,B,one,0,0,M,1.4703,1.4897,1.4937,1.1057
A0360M,A03,6,B,one,0,0,M,1.4726,1.4892,1.4921,1.1066
A0370M,A03,7,B,one,0,0,M,1.4584,1.4856,1.4875,1.0965
A0380M,A03,8,B,one,0,0,M,1.4519,1.484,1.4881,1.1033
A0390M,A03,9,B,one,0,0,M,1.4612,1.4857,1.4962,1.0936
A03100M,A03,10,B,one,0,0,M,1.4537,1.4779,1.49,1.0879
A03110M,A03,11,B,one,0,0,M,1.4588,1.476,1.4852,1.09
A03120M,A03,12,B,one,0,0,M,1.454,1.4713,1.4828,1.0844
A0310Q,A03,1,A,one,0,0,Q,1.4721,1.371133,1.5152,1.1119
A0320Q,A03,2,A,one,0,0,Q,1.4774,1.374833,1.5156,1.1025
A0330Q,A03,3,A,one,0,0,Q,1.462,1.364733,1.5015,1.0887
A0340Q,A03,4,A,one,0,0,Q,1.46,1.366133,1.5034,1.092
A0350Q,A03,5,A,one,0,0,Q,1.459,1.366933,1.5047,1.0797
A0360Q,A03,6,A,one,0,0,Q,1.4591,1.368933,1.5068,1.1207
A0370Q,A03,7,A,one,0,0,Q,1.4536,1.365233,1.5014,1.0915
A0380Q,A03,8,A,one,0,0,Q,1.4575,1.363933,1.5033,1.0795
A0390Q,A03,9,A,one,0,0,Q,1.453,1.360333,1.5019,1.0696
A03100Q,A03,10,A,one,0,0,Q,1.4584,1.356733,1.5088,1.0591
A03110Q,A03,11,A,one,0,0,Q,1.4581,1.355833,1.5072,1.0943
A03120Q,A03,12,A,one,0,0,Q,1.4552,1.347133,1.5018,1.0558
A0310Q,A03,1,B,one,0,0,Q,1.4927,1.386033,1.5373,1.0636
A0320Q,A03,2,B,one,0,0,Q,1.4985,1.393033,1.5343,1.0716
A0330Q,A03,3,B,one,0,0,Q,1.4946,1.391433,1.5342,1.0625
A0340Q,A03,4,B,one,0,0,Q,1.4936,1.392533,1.533,1.0678
A0350Q,A03,5,B,one,0,0,Q,1.4904,1.388733,1.5364,1.0807
A0360Q,A03,6,B,one,0,0,Q,1.484,1.386733,1.5361,1.0755
A0370Q,A03,7,B,one,0,0,Q,1.4841,1.387533,1.5381,1.082
A0380Q,A03,8,B,one,0,0,Q,1.489,1.386233,1.5391,1.0713
A0390Q,A03,9,B,one,0,0,Q,1.4922,1.386633,1.5438,1.0714
A03100Q,A03,10,B,one,0,0,Q,1.4875,1.381633,1.5388,1.0611
A03110Q,A03,11,B,one,0,0,Q,1.4948,1.384533,1.5389,1.0632
A03120Q,A03,12,B,one,0,0,Q,1.4892,1.376833,1.5337,1.0643
A0310M,A03,1,A,one,0.5,0,M,0.3621,1.0199,1.1286,0.5724
A0320M,A03,2,A,one,0.5,0,M,0.3197,1.014,1.075,0.53
A0330M,A03,3,A,one,0.5,0,M,0.3359,1.075,1.1667,0.4854
A0340M,A03,4,A,one,0.5,0,M,0.3305,0.9841,1.1196,0.4559
A0350M,A03,5,A,one,0.5,0,M,0.3532,1.0574,1.1654,0.5024
A0360M,A03,6,A,one,0.5,0,M,0.3323,1.0086,1.1172,0.4768
A0370M,A03,7,A,one,0.5,0,M,0.3064,0.961,1.0865,0.4533
A0380M,A03,8,A,one,0.5,0,M,0.3143,0.9901,1.1055,0.4691
A0390M,A03,9,A,one,0.5,0,M,0.3155,0.8776,1.024,0.4197
A03100M,A03,10,A,one,0.5,0,M,0.3134,0.9406,1.0656,0.4094
A03110M,A03,11,A,one,0.5,0,M,0.2905,0.9413,1.0663,0.3935
A03120M,A03,12,A,one,0.5,0,M,0.3074,1.0176,1.1441,0.4562
A0310M,A03,1,B,one,0.5,0,M,0.3128,0.9769,1.1179,0.4716
A0320M,A03,2,B,one,0.5,0,M,0.2416,0.8745,1.0294,0.4529
A0330M,A03,3,B,one,0.5,0,M,0.3107,0.9688,1.1057,0.4947
A0340M,A03,4,B,one,0.5,0,M,0.3407,1.0056,1.122,0.4698
A0350M,A03,5,B,one,0.5,0,M,0.315,0.9468,1.0799,0.4775
A0360M,A03,6,B,one,0.5,0,M,0.2787,0.728,0.904,0.4687
A0370M,A03,7,B,one,0.5,0,M,0.2829,0.8269,0.9767,0.4568
A0380M,A03,8,B,one,0.5,0,M,0.2839,0.8395,0.9912,0.4622
A0390M,A03,9,B,one,0.5,0,M,0.3014,0.7453,0.9116,0.4299
A03100M,A03,10,B,one,0.5,0,M,0.3124,0.8511,1.0015,0.4477
A03110M,A03,11,B,one,0.5,0,M,0.2681,0.8164,0.9721,0.4105
A03120M,A03,12,B,one,0.5,0,M,0.3747,1.0255,1.1476,0.5045
A0310M,A03,1,C,one,0.5,0,M,0.2344,0.7808,0.9628,0.4384
A0320M,A03,2,C,one,0.5,0,M,0.2187,0.5942,0.8011,0.4206
A0330M,A03,3,C,one,0.5,0,M,0.2659,0.8652,1.0142,0.5312
A0340M,A03,4,C,one,0.5,0,M,0.2433,0.6062,0.8135,0.4442
A0350M,A03,5,C,one,0.5,0,M,0.2436,0.5218,0.7396,0.4555
A0360M,A03,6,C,one,0.5,0,M,0.2244,0.3374,0.4999,0.4209
A0370M,A03,7,C,one,0.5,0,M,0.2228,0.349,0.4981,0.4153
A0380M,A03,8,C,one,0.5,0,M,0.2332,0.3362,0.4728,0.4192
A0390M,A03,9,C,one,0.5,0,M,0.2126,0.3086,0.4078,0.3686
A03100M,A03,10,C,one,0.5,0,M,0.2185,0.3325,0.4664,0.3904
A03110M,A03,11,C,one,0.5,0,M,0.2095,0.5162,0.7103,0.3958
A03120M,A03,12,C,one,0.5,0,M,0.2041,0.8206,0.9998,0.4277
A0310Q,A03,1,A,one,0.5,0,Q,0.1984,0.3845,0.434,0.2629
A0320Q,A03,2,A,one,0.5,0,Q,0.1849,0.2835,0.2993,0.2483
A0330Q,A03,3,A,one,0.5,0,Q,0.1933,0.3161,0.3466,0.2454
A0340Q,A03,4,A,one,0.5,0,Q,0.1989,0.3413,0.3758,0.2382
A0350Q,A03,5,A,one,0.5,0,Q,0.1894,0.3077,0.3356,0.2397
A0360Q,A03,6,A,one,0.5,0,Q,0.194,0.2926,0.3304,0.2469
A0370Q,A03,7,A,one,0.5,0,Q,0.1728,0.2787,0.3276,0.222
A0380Q,A03,8,A,one,0.5,0,Q,0.1989,0.3084,0.376,0.2555
A0390Q,A03,9,A,one,0.5,0,Q,0.179,0.2839,0.3302,0.2389
A03100Q,A03,10,A,one,0.5,0,Q,0.1881,0.2992,0.3437,0.3025
A03110Q,A03,11,A,one,0.5,0,Q,0.1784,0.2599,0.3059,0.2288
A03120Q,A03,12,A,one,0.5,0,Q,0.1959,0.4306,0.5169,0.2641
A0310Q,A03,1,B,one,0.5,0,Q,0.1731,0.2909,0.3551,0.2266
A0320Q,A03,2,B,one,0.5,0,Q,0.2163,0.3318,0.3823,0.2364
A0330Q,A03,3,B,one,0.5,0,Q,0.1989,0.2974,0.3327,0.2236
A0340Q,A03,4,B,one,0.5,0,Q,0.2089,0.3334,0.3738,0.2226
A0350Q,A03,5,B,one,0.5,0,Q,0.2185,0.3488,0.3861,0.2166
A0360Q,A03,6,B,one,0.5,0,Q,0.2011,0.2943,0.3261,0.2125
A0370Q,A03,7,B,one,0.5,0,Q,0.215,0.3307,0.3796,0.2195
A0380Q,A03,8,B,one,0.5,0,Q,0.2263,0.3388,0.4201,0.2401
A0390Q,A03,9,B,one,0.5,0,Q,0.2138,0.3166,0.3654,0.2321
A03100Q,A03,10,B,one,0.5,0,Q,0.1992,0.2934,0.3337,0.2728
A03110Q,A03,11,B,one,0.5,0,Q,0.2018,0.2832,0.3243,0.1895
A03120Q,A03,12,B,one,0.5,0,Q,0.233,0.3639,0.4841,0.2375
A0375M,A03,7,A,one,0,5,M,0.0098,0.0033,0.0044,-0.0155
A0375M,A03,7,B,one,0,5,M,0.0102,-0.0009,-0.0061,-0.0037
A0325Q,A03,2,A,one,0,5,Q,1.4333,1.479267,1.4846,1.1611
A0335Q,A03,3,A,one,0,5,Q,1.4642,1.505167,1.4991,1.1254
A0365Q,A03,6,A,one,0,5,Q,1.2224,1.324867,1.3281,0.9934
A0375Q,A03,7,A,one,0,5,Q,1.2642,1.309767,1.3158,1.0621
A0385Q,A03,8,A,one,0,5,Q,1.4115,1.437867,1.4488,1.032
A0395Q,A03,9,A,one,0,5,Q,1.4107,1.471067,1.4844,1.0069
A03115Q,A03,11,A,one,0,5,Q,1.4328,1.466067,1.501,1.0707
A0325Q,A03,2,B,one,0,5,Q,1.4533,1.503767,1.5103,1.1153
A0335Q,A03,3,B,one,0,5,Q,1.499,1.535767,1.5334,1.175
A0365Q,A03,6,B,one,0,5,Q,1.2425,1.351667,1.3488,0.9898
A0375Q,A03,7,B,one,0,5,Q,1.2641,1.334067,1.3277,1.0513
A0385Q,A03,8,B,one,0,5,Q,1.4291,1.469467,1.458,1.0799
A0395Q,A03,9,B,one,0,5,Q,1.4374,1.504867,1.4967,1.0191
A03115Q,A03,11,B,one,0,5,Q,1.4517,1.499167,1.4909,1.0497
A0375M,A03,7,A,one,0.5,5,M,0.0139,-0.0002,0.0009,-0.0027
A0375M,A03,7,B,one,0.5,5,M,0.0183,0.0005,-0.0016,-0.004
A0375M,A03,7,C,one,0.5,5,M,-0.0154,-0.0039,0.0015,0.0031
A0325Q,A03,2,A,one,0.5,5,Q,0.5167,1.1297,1.1755,0.5532
A0335Q,A03,3,A,one,0.5,5,Q,0.1802,0.8684,0.9296,0.367
A0365Q,A03,6,A,one,0.5,5,Q,0.1697,0.2896,0.3465,0.4238
A0375Q,A03,7,A,one,0.5,5,Q,0.3931,0.6771,0.7584,0.4702
A0385Q,A03,8,A,one,0.5,5,Q,0.1723,0.312,0.6787,0.5205
A0395Q,A03,9,A,one,0.5,5,Q,0.131,0.9468,1.1082,0.4901
A03115Q,A03,11,A,one,0.5,5,Q,0.0772,0.1688,0.265,0.5801
A0325Q,A03,2,B,one,0.5,5,Q,0.3229,1.1061,1.1843,0.5361
A0335Q,A03,3,B,one,0.5,5,Q,0.1791,0.7585,0.8901,0.3842
A0365Q,A03,6,B,one,0.5,5,Q,0.1686,0.2747,0.3114,0.4087
A0375Q,A03,7,B,one,0.5,5,Q,0.3702,0.6942,0.7721,0.4447
A0385Q,A03,8,B,one,0.5,5,Q,0.1797,0.2933,0.5943,0.5228
A0395Q,A03,9,B,one,0.5,5,Q,0.1256,0.76,1.0675,0.4935
A03115Q,A03,11,B,one,0.5,5,Q,0.0877,0.1657,0.362,0.6013
A0410M,A04,1,A,one,0,0,M,1.4839,1.518,1.5263,1.1463
A0420M,A04,2,A,one,0,0,M,1.4718,1.5106,1.5148,1.1104
A0430M,A04,3,A,one,0,0,M,1.4679,1.5005,1.5089,1.1216
A0440M,A04,4,A,one,0,0,M,1.4711,1.5123,1.5219,1.1257
A0450M,A04,5,A,one,0,0,M,1.459,1.5024,1.5084,1.1107
A0460M,A04,6,A,one,0,0,M,1.4619,1.5099,1.5118,1.112
A0470M,A04,7,A,one,0,0,M,1.4518,1.4944,1.5054,1.1115
A0480M,A04,8,A,one,0,0,M,1.4746,1.5147,1.52,1.1115
A0490M,A04,9,A,one,0,0,M,1.4567,1.5078,1.5125,1.0931
A04100M,A04,10,A,one,0,0,M,1.4561,1.506,1.5123,1.0866
A04110M,A04,11,A,one,0,0,M,1.4683,1.5119,1.5169,1.0801
A0410M,A04,1,B,one,0,0,M,1.4973,1.5058,1.5128,1.1137
A0420M,A04,2,B,one,0,0,M,1.4807,1.5056,1.5124,1.1299
A0430M,A04,3,B,one,0,0,M,1.466,1.4971,1.5007,1.1213
A0440M,A04,4,B,one,0,0,M,1.4688,1.5033,1.5076,1.1296
A0450M,A04,5,B,one,0,0,M,1.4677,1.4964,1.4976,1.1081
A0460M,A04,6,B,one,0,0,M,1.4815,1.5047,1.5047,1.1245
A0470M,A04,7,B,one,0,0,M,1.4645,1.489,1.4959,1.1133
A0480M,A04,8,B,one,0,0,M,1.481,1.5116,1.5119,1.1281
A0490M,A04,9,B,one,0,0,M,1.4667,1.4971,1.4983,1.0938
A04100M,A04,10,B,one,0,0,M,1.4705,1.5036,1.5104,1.1105
A04110M,A04,11,B,one,0,0,M,1.4675,1.5002,1.5098,1.083
A0410M,A04,1,A,one,0.5,0,M,0.3759,0.8139,0.9684,0.368
A0420M,A04,2,A,one,0.5,0,M,0.4272,0.8501,0.9946,0.3631
A0430M,A04,3,A,one,0.5,0,M,0.4106,0.916,1.0538,0.3795
A0440M,A04,4,A,one,0.5,0,M,0.3809,0.8415,1.0347,0.3849
A0450M,A04,5,A,one,0.5,0,M,0.3295,0.7583,0.9579,0.3573
A0460M,A04,6,A,one,0.5,0,M,0.3661,0.8669,1.0392,0.3362
A0470M,A04,7,A,one,0.5,0,M,0.3661,0.8131,0.9773,0.3046
A0480M,A04,8,A,one,0.5,0,M,0.3387,0.6723,0.861,0.2558
A0490M,A04,9,A,one,0.5,0,M,0.3546,0.7994,0.9871,0.2886
A04100M,A04,10,A,one,0.5,0,M,0.3229,0.7679,0.9595,0.2794
A04110M,A04,11,A,one,0.5,0,M,0.3018,0.5881,0.7901,0.2319
A0410M,A04,1,B,one,0.5,0,M,0.4711,0.9567,1.1012,0.3781
A0420M,A04,2,B,one,0.5,0,M,0.4239,0.8985,1.0716,0.3799
A0430M,A04,3,B,one,0.5,0,M,0.4432,0.8963,1.0775,0.3981
A0440M,A04,4,B,one,0.5,0,M,0.7786,1.1374,1.2436,0.4202
A0450M,A04,5,B,one,0.5,0,M,0.4049,0.8451,1.0303,0.372
A0460M,A04,6,B,one,0.5,0,M,0.4035,0.8626,1.0455,0.3733
A0470M,A04,7,B,one,0.5,0,M,0.37,0.7056,0.8865,0.3462
A0480M,A04,8,B,one,0.5,0,M,0.3922,0.7187,0.915,0.3136
A0490M,A04,9,B,one,0.5,0,M,0.4479,0.8667,1.0579,0.3479
A04100M,A04,10,B,one,0.5,0,M,0.465,0.8967,1.0756,0.327
A04110M,A04,11,B,one,0.5,0,M,0.313,0.5531,0.7682,0.3032
A0410M,A04,1,C,one,0.5,0,M,0.3342,0.5916,0.8068,0.3423
A0420M,A04,2,C,one,0.5,0,M,0.3793,0.7164,0.9266,0.3802
A0430M,A04,3,C,one,0.5,0,M,0.3758,0.6697,0.8822,0.3887
A0440M,A04,4,C,one,0.5,0,M,0.3432,0.7163,0.9253,0.4333
A0450M,A04,5,C,one,0.5,0,M,0.2682,0.4966,0.712,0.3497
A0460M,A04,6,C,one,0.5,0,M,0.2874,0.5599,0.7768,0.3671
A0470M,A04,7,C,one,0.5,0,M,0.2808,0.5004,0.6865,0.3027
A0480M,A04,8,C,one,0.5,0,M,0.2711,0.4612,0.6557,0.2761
A0490M,A04,9,C,one,0.5,0,M,0.2956,0.5501,0.776,0.3501
A04100M,A04,10,C,one,0.5,0,M,0.2624,0.472,0.6596,0.321
A04110M,A04,11,C,one,0.5,0,M,0.2435,0.4029,0.526,0.2325
A0425M,A04,2,A,one,0,5,M,1.5266,1.537,1.5449,1.3638
A0465M,A04,6,A,one,0,5,M,1.5081,1.5232,1.5329,1.2206
A0475M,A04,7,A,one,0,5,M,1.4994,1.5372,1.5444,1.2822
A0485M,A04,8,A,one,0,5,M,1.5324,1.5373,1.5487,1.2521
A04105M,A04,10,A,one,0,5,M,1.4694,1.5241,1.5295,1.1796
A0425M,A04,2,B,one,0,5,M,1.4929,1.5238,1.5249,1.2184
A0465M,A04,6,B,one,0,5,M,1.5022,1.5228,1.5336,1.1959
A0475M,A04,7,B,one,0,5,M,1.4675,1.5223,1.5313,1.2083
A0485M,A04,8,B,one,0,5,M,1.514,1.5246,1.5412,1.1985
A04105M,A04,10,B,one,0,5,M,1.45,1.5213,1.5254,1.1393
A0425M,A04,2,A,one,0.5,5,M,1.3086,1.3961,1.4326,0.9483
A0465M,A04,6,A,one,0.5,5,M,0.9264,1.1598,1.2238,0.615
A0475M,A04,7,A,one,0.5,5,M,0.6863,1.0125,1.0877,0.6308
A0485M,A04,8,A,one,0.5,5,M,1.2079,1.3168,1.3669,0.7032
A04105M,A04,10,A,one,0.5,5,M,0.618,0.9494,1.0221,0.6039
A0425M,A04,2,B,one,0.5,5,M,1.3314,1.4177,1.4346,1.0362
A0465M,A04,6,B,one,0.5,5,M,0.9165,1.1603,1.223,0.6779
A0475M,A04,7,B,one,0.5,5,M,0.5265,0.906,0.9839,0.6925
A0485M,A04,8,B,one,0.5,5,M,1.231,1.3281,1.3828,0.76
A04105M,A04,10,B,one,0.5,5,M,0.6291,0.8523,0.9708,0.5613
A0425M,A04,2,C,one,0.5,5,M,1.2549,1.3915,1.4317,0.9708
A0465M,A04,6,C,one,0.5,5,M,0.944,1.1909,1.2534,0.6754
A0475M,A04,7,C,one,0.5,5,M,0.6351,0.9183,1.0212,0.5823
A0485M,A04,8,C,one,0.5,5,M,1.1856,1.3333,1.38,0.7729
