name,line,time,transfer,RAD80,RAD50,RAD20,FoG80,FoG50,FoG20,slope
A10_t5_6_b_24,A10,t5,24,8,9,10,0.67,0.34,0.27,180.3
A10_t5_7_a_24,A10,t5,24,4,10,11,0.65,0.51,0.4,59.3
A10_t5_7_b_24,A10,t5,24,4,9,11,0.81,0.54,0.42,66.2
A10_t5_8_a_24,A10,t5,24,3,10,11,0.66,0.54,0.43,67.4
A10_t5_8_b_24,A10,t5,24,4,10,11,0.61,0.51,0.39,60.1
A10_t5_9_a_24,A10,t5,24,5,10,11,0.68,0.52,0.4,56.9
A10_t5_9_b_24,A10,t5,24,4,10,11,0.64,0.54,0.41,78.6
A18_t0_10_b_24,A18,t0,24,2,9,10,0.62,0.52,0.33,128.9
A18_t0_10_b_24,A18,t0,24,4,9,10,0.68,0.47,0.35,75.1
A18_t0_11_a_24,A18,t0,24,4,9,10,0.86,0.42,0.32,111.3
A18_t0_11_b_24,A18,t0,24,2,9,10,0.55,0.45,0.33,112.1
A18_t0_12_a_24,A18,t0,24,5,9,10,0.49,0.37,0.27,130.5
A18_t0_12_b_24,A18,t0,24,4,8,9,0.47,0.43,0.3,120.1
A18_t0_1_a_24,A18,t0,24,7,8,9,0.8,0.36,0.24,88.4
A18_t0_1_b_24,A18,t0,24,8,9,10,0.55,0.28,0.28,135.1
A18_t0_2_a_24,A18,t0,24,7,8,9,0.66,0.28,0.26,130.9
A18_t0_2_b_24,A18,t0,24,7,9,9,0.69,0.25,0.23,133
A18_t0_3_a_24,A18,t0,24,3,9,10,0.6,0.38,0.31,136
A18_t0_3_b_24,A18,t0,24,7,9,9,0.8,0.31,0.29,132.4
A18_t0_4_a_24,A18,t0,24,5,9,10,0.56,0.36,0.26,127
A18_t0_4_b_24,A18,t0,24,5,8,9,0.56,0.39,0.26,135.7
A18_t0_5_a_24,A18,t0,24,4,9,10,0.71,0.48,0.33,131
A18_t0_5_b_24,A18,t0,24,4,9,10,0.63,0.43,0.3,116.9
A18_t0_6_a_24,A18,t0,24,4,9,10,0.76,0.4,0.3,136.1
A18_t0_6_b_24,A18,t0,24,3,10,11,0.63,0.38,0.34,110.2
A18_t0_7_a_24,A18,t0,24,4,9,10,0.58,0.43,0.3,134.7
A18_t0_7_b_24,A18,t0,24,5,9,10,0.83,0.48,0.29,139
A18_t0_8_a_24,A18,t0,24,4,9,10,0.59,0.41,0.3,114.2
A18_t0_8_b_24,A18,t0,24,2,9,10,0.58,0.48,0.33,141
A18_t0_9_a_24,A18,t0,24,7,9,10,0.66,0.31,0.3,99.4
A18_t0_9_b_24,A18,t0,24,3,9,10,0.95,0.5,0.31,119.3
A18_t5_10_b_24,A18,t5,24,4,9,10,0.67,0.43,0.32,99.8
A18_t5_10_b_24,A18,t5,24,6,9,10,0.83,0.41,0.29,97.7
A18_t5_11_a_24,A18,t5,24,5,9,10,0.49,0.42,0.3,93.5
A18_t5_11_b_24,A18,t5,24,5,10,10,0.58,0.32,0.29,107.7
A18_t5_12_a_24,A18,t5,24,2,10,11,0.81,0.36,0.34,107.8
A18_t5_12_b_24,A18,t5,24,5,10,10,0.59,0.31,0.28,117.3
A18_t5_1_a_24,A18,t5,24,7,8,9,0.59,0.28,0.25,140.6
A18_t5_1_b_24,A18,t5,24,7,8,9,0.65,0.29,0.26,116.5
A18_t5_2_a_24,A18,t5,24,7,9,9,0.71,0.27,0.25,122.4
A18_t5_2_b_24,A18,t5,24,7,8,9,0.61,0.32,0.24,115.1
A18_t5_3_a_24,A18,t5,24,5,9,10,0.69,0.33,0.29,123.7
A18_t5_3_b_24,A18,t5,24,5,9,10,0.58,0.29,0.29,118.2
A18_t5_4_a_24,A18,t5,24,6,9,10,0.6,0.34,0.26,121.5
A18_t5_4_b_24,A18,t5,24,5,9,10,0.61,0.33,0.3,91.5
A18_t5_5_a_24,A18,t5,24,3,9,10,0.63,0.41,0.3,119
A18_t5_5_b_24,A18,t5,24,4,9,10,0.56,0.4,0.31,121.5
A18_t5_6_a_24,A18,t5,24,4,9,10,0.59,0.36,0.32,108.7
