,Name,strain,replicate,time,bioreplicate,drug,person,RAD80,RAD50,RAD20,FoG80,FoG50,FoG20,slope
A04120M,C_12_t0_a,A04,12,0,two,POS,M,10,11,12,0.12,0.12,0.16,347.4
A04120M,C_12_t0_b,A04,12,0,two,POS,M,11,12,19,0.06,0.08,0.38,31.1
A0420M,C_2_t0_a,A04,2,0,two,POS,M,11,12,13,0.06,0.08,0.12,249.9
A0420M,C_2_t0_b,A04,2,0,two,POS,M,11,12,13,0.04,0.07,0.1,44.4
A0430M,C_3_t0_a,A04,3,0,two,POS,M,11,12,13,0.09,0.1,0.14,347.6
A0430M,C_3_t0_b,A04,3,0,two,POS,M,11,12,13,0.06,0.08,0.13,69.4
A0440M,C_4_t0_a,A04,4,0,two,POS,M,10,11,12,0.05,0.07,0.1,337.9
A0440M,C_4_t0_b,A04,4,0,two,POS,M,12,13,14,0.06,0.09,0.13,56.3
A0450M,C_5_t0_a,A04,5,0,two,POS,M,11,12,13,0.06,0.08,0.13,246.3
A0450M,C_5_t0_b,A04,5,0,two,POS,M,11,12,14,0.04,0.07,0.15,69.3
A0455M,C_5_t5_a,A04,5,5,two,POS,M,10,17,21,0.27,0.35,0.34,62.2
A0455M,C_5_t5_b,A04,5,5,two,POS,M,5,13,15,0.4,0.43,0.35,55.6
A0460M,C_6_t0_a,A04,6,0,two,POS,M,11,11,12,0.06,0.06,0.08,304.9
A0460M,C_6_t0_b,A04,6,0,two,POS,M,11,13,14,0.07,0.11,0.14,73
A0465M,C_6_t5_a,A04,6,5,two,POS,M,6,13,19,0.39,0.47,0.47,56.8
A0465M,C_6_t5_b,A04,6,5,two,POS,M,14,17,20,0.52,0.24,0.3,44.3
A0470M,C_7_t0_a,A04,7,0,two,POS,M,11,12,13,0.06,0.09,0.14,327.7
A0470M,C_7_t0_b,A04,7,0,two,POS,M,12,14,15,0.06,0.1,0.14,83.5
A0480M,C_8_t0_a,A04,8,0,two,POS,M,11,12,13,0.07,0.1,0.15,320.3
A0480M,C_8_t0_b,A04,8,0,two,POS,M,12,12,13,0.07,0.06,0.09,83.1
A0490M,C_9_t0_a,A04,9,0,two,POS,M,11,12,14,0.06,0.09,0.19,259.6
A0490M,C_9_t0_b,A04,9,0,two,POS,M,11,12,13,0.05,0.07,0.11,64.5
A0810M,D_1_t0_a,A08,1,0,two,POS,M,10,12,13,0.12,0.14,0.16,105.1
A0810M,D_1_t0_b,A08,1,0,two,POS,M,9,10,11,0.1,0.09,0.12,312.8
A08100M,D_10_t0_a,A08,10,0,two,POS,M,11,12,13,0.07,0.09,0.12,82.4
A08100M,D_10_t0_b,A08,10,0,two,POS,M,9,10,11,0.12,0.12,0.17,354.2
A08105M,D_10_t5_a,A08,10,5,two,POS,M,15,16,18,0.44,0.27,0.21,85.4
A08105M,D_10_t5_b,A08,10,5,two,POS,M,1,11,16,NA,0.82,0.64,28.2
A08110M,D_11_t0_a,A08,11,0,two,POS,M,11,12,13,0.1,0.1,0.13,84.8
A08110M,D_11_t0_b,A08,11,0,two,POS,M,9,10,11,0.25,0.16,0.19,329.6
A08120M,D_12_t0_a,A08,12,0,two,POS,M,10,11,12,0.12,0.1,0.11,96.9
A08120M,D_12_t0_b,A08,12,0,two,POS,M,8,9,10,0.22,0.16,0.16,215.1
A0820M,D_2_t0_a,A08,2,0,two,POS,M,11,12,13,0.1,0.1,0.13,79.6
A0820M,D_2_t0_b,A08,2,0,two,POS,M,11,12,13,0.1,0.1,0.13,99.4
A0830M,D_3_t0_a,A08,3,0,two,POS,M,11,12,13,0.05,0.07,0.12,90.4
A0830M,D_3_t0_b,A08,3,0,two,POS,M,11,12,14,0.06,0.07,0.17,53.4
A0840M,D_4_t0_a,A08,4,0,two,POS,M,11,12,13,0.09,0.1,0.13,90
A0840M,D_4_t0_b,A08,4,0,two,POS,M,11,12,14,0.11,0.11,0.16,94
A0850M,D_5_t0_a,A08,5,0,two,POS,M,12,12,13,0.07,0.07,0.1,59.7
A0850M,D_5_t0_b,A08,5,0,two,POS,M,11,13,14,0.11,0.11,0.14,99.3
A0860M,D_6_t0_a,A08,6,0,two,POS,M,11,12,13,0.09,0.1,0.14,95.7
A0860M,D_6_t0_b,A08,6,0,two,POS,M,11,12,13,0.06,0.07,0.11,76.1
A0870M,D_7_t0_a,A08,7,0,two,POS,M,12,13,14,0.07,0.1,0.14,58.2
A0870M,D_7_t0_b,A08,7,0,two,POS,M,9,10,12,0.12,0.1,0.19,374
A0880M,D_8_t0_a,A08,8,0,two,POS,M,11,12,14,0.09,0.1,0.17,102.2
A0880M,D_8_t0_b,A08,8,0,two,POS,M,10,11,12,0.1,0.11,0.16,343.6
A0890M,D_9_t0_a,A08,9,0,two,POS,M,11,12,13,0.09,0.08,0.11,86.3
A0890M,D_9_t0_b,A08,9,0,two,POS,M,9,10,11,0.18,0.11,0.15,370.7
A1010M,E_1_t0_a,A10,1,0,one,POS,M,6,10,12,0.36,0.38,0.31,126.6
A1010M,E_1_t0_b,A10,1,0,one,POS,M,6,11,13,0.35,0.37,0.31,126.3
A1015M,E_1_t5_a,A10,1,5,one,POS,M,1,9,11,NA,0.6,0.46,79.8
A1015M,E_1_t5_b,A10,1,5,one,POS,M,6,12,13,0.4,0.33,0.31,118.7
A10100M,E_10_t0_a,A10,10,0,one,POS,M,7,12,13,0.23,0.28,0.26,145.8
A10100M,E_10_t0_b,A10,10,0,one,POS,M,9,13,14,0.12,0.2,0.2,122.2
A10105M,E_10_t5_a,A10,10,5,one,POS,M,7,13,14,0.19,0.29,0.26,94.6
A10105M,E_10_t5_b,A10,10,5,one,POS,M,9,12,15,0.63,0.33,0.36,83.3
A10110M,E_11_t0_a,A10,11,0,one,POS,M,5,10,11,0.47,0.43,0.33,129.3
A10110M,E_11_t0_b,A10,11,0,one,POS,M,9,12,14,0.21,0.25,0.22,122.6
A10115M,E_11_t5_a,A10,11,5,one,POS,M,7,12,13,0.14,0.25,0.22,138.8
A10115M,E_11_t5_b,A10,11,5,one,POS,M,5,12,13,0.4,0.34,0.31,108
A10120M,E_12_t0_a,A10,12,0,one,POS,M,6,11,12,0.29,0.31,0.27,95.8
A10120M,E_12_t0_b,A10,12,0,one,POS,M,7,11,13,0.21,0.34,0.3,108
A10125M,E_12_t5_a,A10,12,5,one,POS,M,6,12,13,0.24,0.34,0.3,100.1
A10125M,E_12_t5_b,A10,12,5,one,POS,M,5,11,13,0.47,0.53,0.37,62.7
A1020M,E_2_t0_a,A10,2,0,one,POS,M,6,11,12,0.37,0.39,0.3,125.8
A1020M,E_2_t0_b,A10,2,0,one,POS,M,6,11,12,0.32,0.36,0.29,137.6
A1025M,E_2_t5_a,A10,2,5,one,POS,M,5,12,14,0.28,0.44,0.36,65.4
A1025M,E_2_t5_b,A10,2,5,one,POS,M,5,13,14,0.34,0.4,0.34,77.5
A1030M,E_3_t0_a,A10,3,0,one,POS,M,6,11,12,0.31,0.35,0.27,139.4
A1030M,E_3_t0_b,A10,3,0,one,POS,M,9,13,14,0.14,0.2,0.2,134.2
A1035M,E_3_t5_a,A10,3,5,one,POS,M,5,10,11,0.6,0.42,0.31,111.5
A1035M,E_3_t5_b,A10,3,5,one,POS,M,8,13,14,0.24,0.26,0.24,83.4
A1040M,E_4_t0_a,A10,4,0,one,POS,M,7,11,13,0.28,0.34,0.28,105.1
A1040M,E_4_t0_b,A10,4,0,one,POS,M,6,8,12,0.3,0.3,0.37,105.3
A1045M,E_4_t5_a,A10,4,5,one,POS,M,6,11,13,0.4,0.43,0.32,94.6
A1045M,E_4_t5_b,A10,4,5,one,POS,M,5,12,13,0.52,0.4,0.32,104.3
A1050M,E_5_t0_a,A10,5,0,one,POS,M,6,12,13,0.27,0.33,0.29,137.4
A1050M,E_5_t0_b,A10,5,0,one,POS,M,8,12,14,0.18,0.26,0.24,134.2
A1055M,E_5_t5_a,A10,5,5,one,POS,M,8,12,13,0.17,0.26,0.22,136.1
A1055M,E_5_t5_b,A10,5,5,one,POS,M,5,13,14,0.37,0.37,0.32,82.2
A1060M,E_6_t0_a,A10,6,0,one,POS,M,8,12,14,0.18,0.27,0.26,116.7
A1060M,E_6_t0_b,A10,6,0,one,POS,M,9,12,14,0.14,0.23,0.23,131
A1065M,E_6_t5_a,A10,6,5,one,POS,M,12,14,19,0.05,0.1,0.27,76.9
A1065M,E_6_t5_b,A10,6,5,one,POS,M,12,14,15,0.34,0.19,0.19,109.8
A1070M,E_7_t0_a,A10,7,0,one,POS,M,8,12,13,0.17,0.28,0.24,117.5
A1070M,E_7_t0_b,A10,7,0,one,POS,M,7,12,13,0.2,0.3,0.27,127.1
A1080M,E_8_t0_a,A10,8,0,one,POS,M,8,13,14,0.17,0.23,0.22,95.2
A1080M,E_8_t0_b,A10,8,0,one,POS,M,8,13,14,0.11,0.27,0.24,108.8
A1085M,E_8_t5_a,A10,8,5,one,POS,M,7,12,13,0.26,0.32,0.27,108.9
A1085M,E_8_t5_b,A10,8,5,one,POS,M,6,12,13,0.4,0.36,0.29,119.8
A1090M,E_9_t0_a,A10,9,0,one,POS,M,7,12,13,0.22,0.32,0.27,106.8
A1090M,E_9_t0_b,A10,9,0,one,POS,M,9,12,14,0.14,0.22,0.21,136.2
A1095M,E_9_t5_a,A10,9,5,one,POS,M,9,13,16,0.24,0.26,0.29,68.2
A1095M,E_9_t5_b,A10,9,5,one,POS,M,7,13,15,0.29,0.31,0.3,62.6
A1210M,F_1_t0_a,A12,1,0,one,POS,M,1,9,13,NA,0.64,0.59,39.5
A1210M,F_1_t0_b,A12,1,0,one,POS,M,1,5,10,NA,0.61,0.55,39.1
A1215M,F_1_t5_a,A12,1,5,one,POS,M,4,10,11,0.66,0.44,0.43,27.2
A1215M,F_1_t5_b,A12,1,5,one,POS,M,2,8,10,0.54,0.56,0.42,35.3
A12100M,F_10_t0_a,A12,10,0,one,POS,M,2,10,11,0.5,0.5,0.36,41.4
A12100M,F_10_t0_b,A12,10,0,one,POS,M,3,10,13,0.39,0.51,0.44,29.2
A12105M,F_10_t5_a,A12,10,5,one,POS,M,1,10,10,NA,0.54,0.51,16.9
A12105M,F_10_t5_b,A12,10,5,one,POS,M,2,10,12,0.64,0.58,0.45,21.8
A12110M,F_11_t0_a,A12,11,0,one,POS,M,0,9,10,NA,0.77,0.56,59.5
A12110M,F_11_t0_b,A12,11,0,one,POS,M,0,3,10,NA,0.56,0.61,27.5
A12115M,F_11_t5_a,A12,11,5,one,POS,M,0,6,9,NA,0.8,0.7,15
A12115M,F_11_t5_b,A12,11,5,one,POS,M,0,11,11,NA,0.49,0.48,21.5
A12120M,F_12_t0_a,A12,12,0,one,POS,M,1,8,10,NA,0.71,0.49,57.1
A12120M,F_12_t0_b,A12,12,0,one,POS,M,2,7,9,0.72,0.63,0.48,53.8
A12125M,F_12_t5_a,A12,12,5,one,POS,M,2,6,11,0.72,0.63,0.58,29.8
A12125M,F_12_t5_b,A12,12,5,one,POS,M,0,6,7,NA,0.84,0.57,66
A1220M,F_2_t0_a,A12,2,0,one,POS,M,2,9,10,0.58,0.7,0.6,21.2
A1220M,F_2_t0_b,A12,2,0,one,POS,M,3,6,10,0.52,0.51,0.49,47.7
A1225M,F_2_t5_a,A12,2,5,one,POS,M,2,10,11,0.46,0.56,0.43,33
A1225M,F_2_t5_b,A12,2,5,one,POS,M,1,9,12,NA,0.62,0.52,29
A1230M,F_3_t0_a,A12,3,0,one,POS,M,2,9,12,0.42,0.58,0.5,35.7
A1230M,F_3_t0_b,A12,3,0,one,POS,M,2,5,10,0.57,0.62,0.54,36
A1235M,F_3_t5_a,A12,3,5,one,POS,M,2,10,11,0.78,0.67,0.57,10.8
A1235M,F_3_t5_b,A12,3,5,one,POS,M,1,9,10,NA,0.61,0.65,11.7
A1240M,F_4_t0_a,A12,4,0,one,POS,M,0,2,9,NA,0.58,0.65,25.1
